Species,Order,Female body mass (kg),Male body mass (kg),Species body mass (kg),Female sexual maturity (days),Male sexual maturity (days),Species sexual maturity (days),Source of sexual maturity,CMR,ICM,Adult life expectancy,Diet (Animal),Diet (Invertebrate),Diet (Vertebrate),Diet (Fish),Diet (Reptile),Diet (Bird),Diet (Mammals),No.individuals,No.dead individuals,No. neoplasia cases,No. individuals with available postmortem pathological records
Acinonyx_jubatus,Carnivora,39.91,45.19,42.55,548,467,374,"smithsonian’s National Zoo & Conservation Biology Institute, https://nationalzoo.si.edu/animals/prevosts-squirrel",0.0356,0.0416,3533.86,1,0,1,0,0,0,1,1560,649,8,225
Addax_nasomaculatus,Artiodactyla,102.28,118.99,110.63,1010,,,ZIMS,0.0357,0.0616,3127.89,0,0,0,0,0,0,0,762,336,3,84
Aepyceros_melampus,Artiodactyla,42.37,53.93,48.15,484,404,374,ZIMS,0.0573,0.1412,2465.89,0,0,0,0,0,0,0,1007,537,9,157
Ailurus_fulgens,Carnivora,5.92,6.03,5.98,574,563,,ZIMS,0.0707,0.0734,3580.26,0,0,0,0,0,0,0,1068,421,7,99
Alces_alces,Artiodactyla,292.79,397.03,344.91,755,627,374,ZIMS,0.0000,0.0000,2103.78,0,0,0,0,0,0,0,246,147,0,33
Alouatta_caraya,Primates,7.04,10.70,8.87,1220,950,,ZIMS,0.2000,,5868.08,0,0,0,0,0,0,0,278,78,5,25
Ammotragus_lervia,Artiodactyla,55.44,79.43,67.44,373,,,ZIMS,0.0403,0.0853,3157.15,0,0,0,0,0,0,0,1298,589,5,124
Antidorcas_marsupialis,Artiodactyla,28.95,30.75,29.85,232,522,,ZIMS,0.0060,0.0054,1728.06,0,0,0,0,0,0,0,654,400,1,166
Antilocapra_americana,Artiodactyla,41.01,45.81,43.41,525,560,,ZIMS,0.0313,0.0379,2057.88,0,0,0,0,0,0,0,176,99,1,32
Antilope_cervicapra,Artiodactyla,28.16,33.92,31.04,515,,,ZIMS,0.0000,0.0000,2307.02,0,0,0,0,0,0,0,1886,981,0,196
Aonyx_cinerea,Carnivora,3.25,3.36,3.30,,,374,ZIMS,0.0610,0.0900,3242.65,1,1,1,0,1,0,0,1267,595,10,164
Arctictis_binturong,Carnivora,17.83,16.58,17.21,947,860,,ZIMS,0.1481,0.1870,5238.72,1,0,1,1,0,1,0,291,97,4,27
Ateles_fusciceps,Primates,9.22,9.17,9.19,1771,1870,,ZIMS,0.0952,,8212.16,0,0,0,0,0,0,0,289,67,2,21
Ateles_geoffroyi,Primates,7.94,7.88,7.91,1965,1870,,ZIMS,0.1429,0.1903,8757.30,0,0,0,0,0,0,0,273,71,4,28
Axis_axis,Artiodactyla,47.71,70.57,59.14,687,935,,ZIMS,0.0811,0.0709,3332.79,0,0,0,0,0,0,0,819,332,6,74
Axis_porcinus,Artiodactyla,30.62,42.08,36.35,311,,,ZIMS,0.0345,0.0267,3381.52,0,0,0,0,0,0,0,361,131,1,29
Bettongia_penicillata,Diprotodontia,1.06,1.07,1.06,184,,,ZIMS,0.0000,0.0000,2808.61,0,0,0,0,0,0,0,280,127,0,21
Bison_bison,Artiodactyla,486.87,777.24,632.05,893,841,,ZIMS,0.0548,0.0525,4678.87,0,0,0,0,0,0,0,985,314,4,73
Bison_bonasus,Artiodactyla,351.82,627.59,489.70,893,841,,ZIMS,0.0408,0.0446,4130.22,0,0,0,0,0,0,0,497,209,2,49
Boselaphus_tragocamelus,Artiodactyla,177.59,229.76,203.68,868,,,ZIMS,0.0500,0.0495,3532.20,0,0,0,0,0,0,0,444,191,2,40
Budorcas_taxicolor,Artiodactyla,234.84,342.22,288.53,810,747,,ZIMS,0.0357,0.0063,4042.38,0,0,0,0,0,0,0,399,128,1,28
Callimico_goeldii,Primates,0.57,0.56,0.56,415,404,,ZIMS,0.0674,0.1825,3343.54,1,1,1,0,0,0,0,760,395,6,89
Callithrix_geoffroyi,Primates,0.48,0.44,0.46,495,391,,ZIMS,0.0196,0.0139,2387.15,1,1,1,0,1,0,0,725,409,2,102
Callithrix_jacchus,Primates,0.39,0.37,0.38,494,391,,ZIMS,0.0246,0.0133,2542.33,1,1,1,0,1,0,0,1001,546,3,122
Callosciurus_prevostii,Rodentia,0.49,0.48,0.48,365,365,,"Smithsonian’s National Zoo & Conservation Biology Institute, https://nationalzoo.si.edu/animals/prevosts-squirrel",0.0667,0.0844,2386.65,0,0,0,0,0,0,0,258,160,3,45
Canis_rufus,Carnivora,23.43,27.44,25.44,660,660,,https://www.futura-sciences.com/planete/definitions/zoologie-loup-rouge-8383/,0.2581,0.3273,3223.19,1,0,1,0,0,0,1,194,95,8,31
Capra_caucasica,Artiodactyla,47.72,83.33,65.53,926,1111,,ZIMS,0.0000,0.0000,2178.04,0,0,0,0,0,0,0,384,222,0,58
Capra_falconeri,Artiodactyla,34.77,60.80,47.79,763,,,ZIMS,0.0137,0.1157,2226.85,0,0,0,0,0,0,0,581,304,1,73
Capra_ibex,Artiodactyla,37.36,73.96,55.66,840,1286,,ZIMS,0.0000,0.0000,2727.22,0,0,0,0,0,0,0,366,201,0,42
Capra_nubiana,Artiodactyla,28.08,53.72,40.90,729,830,,ZIMS,0.0417,0.0291,2301.50,0,0,0,0,0,0,0,424,228,2,48
Caracal_caracal,Carnivora,10.51,13.77,12.14,483,467,,ZIMS,0.0952,0.1345,3492.12,1,0,1,0,0,1,1,196,83,2,21
Carollia_perspicillata,Chiroptera,0.02,0.02,0.02,264,264,374,ZIMS,0.0000,0.0000,2015.11,1,1,0,0,0,0,0,367,194,0,33
Cebuella_pygmaea,Primates,0.15,0.14,0.15,681,653,,ZIMS,0.0244,0.0706,2158.90,1,1,0,0,0,0,0,1170,676,4,164
Cercopithecus_neglectus,Primates,6.37,10.89,8.63,1633,2616,,ZIMS,0.1250,0.0779,4767.77,0,0,0,0,0,0,0,230,79,3,24
Cervus_canadensis,Artiodactyla,295.60,349.82,322.71,852,730,,https://www.iucnredlist.org/species/55997823/55997871,0.0000,0.0000,4139.74,,,,,,,,407,175,0,39
Cervus_elaphus,Artiodactyla,203.42,160.28,181.85,875,747,374,ZIMS,0.0000,0.0000,3589.92,0,0,0,0,0,0,0,595,260,0,61
Cervus_nippon,Artiodactyla,57.54,80.36,68.95,571,512,,ZIMS,0.0164,0.0124,2727.23,0,0,0,0,0,0,0,1239,671,2,122
Choloepus_didactylus,Pilosa,9.20,8.35,8.77,1263,1683,,ZIMS,0.0455,,6523.61,0,0,0,0,0,0,0,323,77,1,22
Chrysocyon_brachyurus,Carnivora,24.56,27.24,25.90,748,,,ZIMS,0.1286,0.1324,3063.38,1,1,1,0,1,1,1,393,203,9,70
Colobus_guereza,Primates,10.92,12.85,11.88,1765,1745,,ZIMS,0.0380,0.0139,4653.31,0,0,0,0,0,0,0,694,249,3,79
Connochaetes_gnou,Artiodactyla,128.86,134.18,131.52,731,1122,,ZIMS,0.0000,0.0000,3279.07,0,0,0,0,0,0,0,158,76,0,30
Connochaetes_taurinus,Artiodactyla,170.07,219.66,194.86,475,934,374,ZIMS,0.0093,0.0079,3117.78,0,0,0,0,0,0,0,781,340,1,107
Cricetus_cricetus,Rodentia,0.24,0.30,0.27,64,57,,ZIMS,0.2083,0.1488,922.54,1,1,1,0,1,0,0,1333,127,5,24
Ctenodactylus_gundi,Rodentia,0.29,0.27,0.28,327,,,ZIMS,0.0313,0.0137,1222.44,0,0,0,0,0,0,0,388,252,1,32
Cuon_alpinus,Carnivora,18.63,21.20,19.92,366,374,,ZIMS,0.1429,0.1771,2870.34,1,1,1,0,0,0,1,437,216,7,49
Cynictis_penicillata,Carnivora,1.08,1.08,1.08,748,,,ZIMS,0.0968,0.0335,2953.93,1,1,1,0,1,1,1,291,133,3,31
Cynomys_ludovicianus,Rodentia,0.99,1.04,1.01,838,747,,ZIMS,0.1613,,1838.31,0,0,0,0,0,0,0,436,221,5,31
Dama_dama,Artiodactyla,46.03,63.59,54.81,518,471,,ZIMS,0.0207,0.0131,2732.30,0,0,0,0,0,0,0,1368,703,3,145
Dama_mesopotamica,Artiodactyla,59.59,87.76,73.68,487,507,,https://genomics.senescence.info/species/entry.php?species=Dama_dama,0.1000,0.1516,3096.06,0,0,0,0,0,0,0,316,129,3,30
Damaliscus_pygargus,Artiodactyla,70.59,71.92,71.26,724,,,ZIMS,0.0000,0.0000,2480.66,0,0,0,0,0,0,0,407,225,0,68
Dasyprocta_azarae,Rodentia,3.10,3.20,3.15,340,,,"Closest species : 
- no pacifici, no lovegrove, no harvey, no millar 
- wootton : D. leporina : 295 days
AnAge&Ernest : D. leporina : 193 (f) / D. punctata : 487 (f) ",0.0000,0.0000,2752.38,0,0,0,0,0,0,0,380,136,0,24
Dasyprocta_leporina,Rodentia,3.48,3.21,3.34,198,,,ZIMS,0.0294,0.0601,2236.38,0,0,0,0,0,0,0,320,203,1,34
Dasyuroides_byrnei,Dasyuromorphia,0.12,0.14,0.13,256,221,374,ZIMS,0.5714,0.5210,1030.42,1,1,1,0,1,1,1,139,93,16,28
Desmodus_rotundus,Chiroptera,0.03,0.03,0.03,292,292,,ZIMS,0.0769,0.1548,3650.27,1,0,0,0,0,0,0,324,127,3,39
Dolichotis_patagonum,Rodentia,7.58,7.68,7.63,160,187,249,ZIMS,0.0000,0.0000,1834.76,0,0,0,0,0,0,0,1730,978,0,213
Echinops_telfairi,Afrosoricida,0.16,0.14,0.15,336,374,,ZIMS,0.0571,0.0247,2720.27,1,1,1,0,0,0,1,539,245,2,35
Eidolon_helvum,Chiroptera,0.29,0.31,0.30,,,374,ZIMS,0.1429,,5507.59,0,0,0,0,0,0,0,569,158,5,35
Elaphurus_davidianus,Artiodactyla,175.44,209.38,192.41,841,1214,,ZIMS,0.0164,0.0132,3076.13,0,0,0,0,0,0,0,528,288,1,61
Equus_grevyi,Perissodactyla,392.05,386.91,389.48,1371,1496,,ZIMS,0.0385,0.0272,4916.47,0,0,0,0,0,0,0,496,199,2,52
Equus_hemionus,Perissodactyla,218.20,227.21,222.71,1078,1215,374,ZIMS,0.0303,0.0153,4329.82,0,0,0,0,0,0,0,309,130,1,33
