species,order,body_mass_kg,adult_life_expectancy_years,exposure_proxy,cmr,icm,naive_risk,suppression_index,n_postmortem,n_neoplasia
Acinonyx jubatus,Carnivora,42.55,9.675181382614648,411.6789678302532,0.0356,0.0416,0.14828227258067506,0.7741488649333252,225,8
Addax nasomaculatus,Artiodactyla,110.63,8.563696098562628,947.4016993839836,0.0357,0.0616,0.3088240222641976,0.9015790851683234,84,3
Aepyceros melampus,Artiodactyla,48.15,6.751238877481177,325.0721519507187,0.0573,0.1412,0.1190328658836658,0.534404862940616,157,9
Ailurus fulgens,Carnivora,5.98,9.802217659137577,58.61726160164272,0.0707,0.0734,0.02259379502539305,-2.208499478706946,99,7
Alces alces,Artiodactyla,344.91,5.759835728952773,1986.624941273101,0.0,0.0,0.5390749532977759,1.0,33,0
Ammotragus lervia,Artiodactyla,67.44,8.643805612594115,582.938250513347,0.0403,0.0853,0.20329314966924084,0.8190046301663032,124,5
Antidorcas marsupialis,Artiodactyla,29.85,4.731170431211499,141.22543737166325,0.006,0.0054,0.05357084556212033,0.890698074628997,166,1
Antilocapra americana,Artiodactyla,43.41,5.634168377823409,244.57924928131416,0.0313,0.0379,0.09094839843626745,0.6665005526078251,32,1
Antilope cervicapra,Artiodactyla,31.04,6.3162765229295,196.0572232717317,0.0,0.0,0.07358805125206147,1.0,196,0
Aonyx cinerea,Carnivora,3.3,8.877891854893909,29.297043121149898,0.061,0.09,0.01135697231800914,-4.510422572850233,164,10
Arctictis binturong,Carnivora,17.21,14.342833675564682,246.8401675564682,0.1481,0.187,0.09174933601532864,-0.6655721421067837,27,4
Ateles geoffroyi,Primates,7.91,23.97618069815195,189.65158932238194,0.1429,0.1903,0.07127158844244819,-1.085514161182485,28,4
Axis axis,Artiodactyla,59.14,9.124681724845995,539.6336772073922,0.0811,0.0709,0.18972813590161108,0.5979856245107487,74,6
Axis porcinus,Artiodactyla,36.35,9.258097193702943,336.53183299110196,0.0345,0.0267,0.12296003044245352,0.7324050967311506,29,1
Bettongia penicillata,Diprotodontia,1.06,7.689555099247092,8.150928405201917,0.0,0.0,0.0031727355688376813,1.0,21,0
Bison bison,Artiodactyla,632.05,12.810047912388775,8096.5907830253245,0.0548,0.0525,0.9574295492502679,0.9821457186421866,73,4
Bison bonasus,Artiodactyla,489.7,11.307926078028748,5537.491400410678,0.0408,0.0446,0.8845463449410687,0.9807050146976469,49,2
Boselaphus tragocamelus,Artiodactyla,203.68,9.670636550308007,1969.715252566735,0.05,0.0495,0.5360262516890271,0.9332055338631899,40,2
Budorcas taxicolor,Artiodactyla,288.53,11.067433264887065,3193.2865199178646,0.0357,0.0063,0.7120468739521556,0.970799945014375,28,1
Callimico goeldii,Primates,0.56,9.154113620807665,5.126303627652293,0.0674,0.1825,0.0019965816462533814,-33.91428056810669,89,6
Callithrix geoffroyi,Primates,0.46,6.535660506502396,3.006403832991102,0.0196,0.0139,0.0011714115064259678,-15.888199516307708,102,2
Callithrix jacchus,Primates,0.38,6.960520191649555,2.6449976728268307,0.0246,0.0133,0.0010306662476805561,-23.154082688225586,122,3
Callosciurus prevostii,Rodentia,0.48,6.53429158110883,3.1364599589322384,0.0667,0.0844,0.0012220554398758576,-55.451120942355224,45,3
Canis rufus,Carnivora,25.44,8.824613278576317,224.49816180698153,0.2581,0.3273,0.08380354092847042,-2.4109414422004054,31,8
Capra caucasica,Artiodactyla,65.53,5.963148528405202,390.7651230663929,0.0,0.0,0.14130929982536056,1.0,58,0
Capra falconeri,Artiodactyla,47.79,6.096783025325119,291.36526078028743,0.0137,0.1157,0.107379489592076,0.8785610020728379,73,1
Capra ibex,Artiodactyla,55.66,7.466721423682409,415.59771444216284,0.0,0.0,0.14958252544229533,1.0,42,0
Capra nubiana,Artiodactyla,40.9,6.301163586584531,257.7175906913073,0.0417,0.0291,0.09559284470709617,0.5760723379415598,48,2
Caracal caracal,Carnivora,12.14,9.560903490759753,116.0693683778234,0.0952,0.1345,0.044243051114868814,-1.2107787345583176,21,2
Carollia perspicillata,Chiroptera,0.02,5.517070499657768,0.11034140999315536,0.0,0.0,4.3017567632364084e-05,1.0,33,0
Cebuella pygmaea,Primates,0.15,5.910746064339493,0.886611909650924,0.0244,0.0706,0.0003456011395880365,-70.4648794224464,164,4
Cercopithecus neglectus,Primates,8.63,13.05344284736482,112.65121177275842,0.125,0.0779,0.042968534529843505,-2.040400872009275,24,3
Cervus canadensis,Artiodactyla,322.71,11.333990417522244,3657.592047638603,0.0,0.0,0.7597259301755177,1.0,39,0
Cervus elaphus,Artiodactyla,181.85,9.828665297741273,1787.3427843942504,0.0,0.0,0.5018361638310241,1.0,61,0
Cervus nippon,Artiodactyla,68.95,7.46674880219028,514.8323299110199,0.0164,0.0124,0.18185542989960912,0.9176151858530017,122,2
Chrysocyon brachyurus,Carnivora,25.9,8.387077344284737,217.22530321697468,0.1286,0.1324,0.0812020263138109,-0.6254075884266033,70,9
Colobus guereza,Primates,11.88,12.74006844626968,151.3520131416838,0.038,0.0139,0.05730000000000002,0.34345569580492386,79,3
Connochaetes gnou,Artiodactyla,131.52,8.97760438056126,1180.734528131417,0.0,0.0,0.36892440734846554,1.0,30,0
Connochaetes taurinus,Artiodactyla,194.86,8.536016427104723,1663.3281609856265,0.0093,0.0079,0.47715856156800873,0.9855916023893249,107,1
Cricetus cricetus,Rodentia,0.27,2.5257768651608488,0.6819597535934292,0.2083,0.1488,0.00026583837584226444,-877.5101037022201,24,5
Ctenodactylus gundi,Rodentia,0.28,3.346858316221766,0.9371203285420946,0.0313,0.0137,0.0003652857145284294,-86.04009719414312,32,1
Cuon alpinus,Carnivora,19.92,7.858562628336756,156.54256755646819,0.1429,0.1771,0.05920574402463197,-1.5266039863561058,49,7
Cynictis penicillata,Carnivora,1.08,8.087419575633128,8.734413141683778,0.0968,0.0335,0.0033994695813689413,-28.89822775234265,31,3
