species,order,body_mass_kg,adult_life_expectancy_years,exposure_proxy,cmr,icm,naive_risk,suppression_index,n_postmortem,n_neoplasia
Alces alces,Artiodactyla,344.91,5.759835728952773,1986.624941273101,0.0,0.0,0.5390749532977759,1.0,33,0
Antilope cervicapra,Artiodactyla,31.04,6.3162765229295,196.0572232717317,0.0,0.0,0.07358805125206147,1.0,196,0
Bettongia penicillata,Diprotodontia,1.06,7.689555099247092,8.150928405201917,0.0,0.0,0.0031727355688376813,1.0,21,0
Capra caucasica,Artiodactyla,65.53,5.963148528405202,390.7651230663929,0.0,0.0,0.14130929982536056,1.0,58,0
Capra ibex,Artiodactyla,55.66,7.466721423682409,415.59771444216284,0.0,0.0,0.14958252544229533,1.0,42,0
Carollia perspicillata,Chiroptera,0.02,5.517070499657768,0.11034140999315536,0.0,0.0,4.3017567632364084e-05,1.0,33,0
Cervus canadensis,Artiodactyla,322.71,11.333990417522244,3657.592047638603,0.0,0.0,0.7597259301755177,1.0,39,0
Cervus elaphus,Artiodactyla,181.85,9.828665297741273,1787.3427843942504,0.0,0.0,0.5018361638310241,1.0,61,0
Connochaetes gnou,Artiodactyla,131.52,8.97760438056126,1180.734528131417,0.0,0.0,0.36892440734846554,1.0,30,0
Damaliscus pygargus,Artiodactyla,71.26,6.791676933607118,483.97489828884324,0.0,0.0,0.17195346334327744,1.0,68,0
Dasyprocta azarae,Rodentia,3.15,7.5356057494866535,23.73715811088296,0.0,0.0,0.009211648982992315,1.0,24,0
Dolichotis patagonum,Rodentia,7.63,5.0232991101984945,38.327772210814516,0.0,0.0,0.014831651241191568,1.0,213,0
